Index,Body
17,different role responsible task raci matrix ensure conflict role come actual task delivery mean matrix inadequate come assigning responsibility appropriate role
18,organization regulated pas audit implemented requirement traceability mean documented path specific requirement code change working product production understand work agile scrum currently way saw implemented follows change matter big small need ticket tracker like jira ticket need necessity specification get implemented mean thing like detailed acceptance criterion time estimate implemented change code include tracker requirement commit reviewed pull request ticket tracker follow pre defined process step grooming dev qa finally xp person find extremely stifling find place improvement need process implemented process easily day weeks(i mean real time effort time lot time waiting grooming planning implementation change minute understand need kind documentation versed specific law able figure acceptable understanding problem correct way implement requirement traceability regulated organization big overhead learn live
19,let want contract customer describes want asks provide completed product going use scrum calculate time need complete work
20,main question story point accuracy research survey performed analyse precision example accuracy completion date estimation based story point
21,far aware definition story point compare person team personal understanding correlation effort story point story point estimation fallacy belief example assumed task specific property difficulty effort maybe belief adequately estimate number time task intrinsically indeterminate example planning poker teammembers agree pbi estimated story point pbi story point estimation actually mean everybody understands story point differently different effort time risk want reliable argument research comprehensive survey sp tool belief
22,question project crashing wanted know exact time need stop reducing project schedule need carry critical path say reduce schedule reach crash point network sorry understanding little getting stuck stop university plot graph indirect cost given thanks
23,read work progress minimized wip matter long sprint finished sure define wip specifically large wip item right stem sprint workflow sprint contains number task user story deliverable task single item wip time boxing sprint wip item size automatically fit number hour example defining wip item bad analyze data good analyze datasets extracting metric dataset way good definition wip item pretty large judge post hoc reasonably sized end case end reason asking confusion like canonical definition
24,know reference literature explore issue inefficient sprint retrospective think experienced find report experience literature
25,work offshore onsite model scrum master debate started sm swapping item sprint sprint running product owner identified new critical item ready remove equivalent item active sprint problem look guide say change affect sprint goal explicit called sprint goal work multiple feature sprint backlog look like storyx storyy storyz storyxx etc independent relation completed sprint developer example story block user wildcard patient search story implement pagination user search story tech story framework upgdate latest question sprint goal case assume corresponding work associated changed right complete sprint backlog sprint goal question sm right change sprint goal
26,let consider agile software project beginning project story implemented quickly code base small dependecies different part code maintain backward compatibility etc team move forward code base larger complex requires time understand dependecies need spend time talking developer current architecture story day require lest week nearer end project fixing minor bug difficult code base huge lot dependecies restriction example backward compatibility team progress velocity slow story beginning project estimated story point story taken development end project estimated team story point greater agile manifest sates agile team maintain constant pace possible team course begin point story compensate complexity increasing mean story point fixed unit measure threrefore use story point forecasting time required complete project
27,resource calendar gantt chart show resource usage sheet mean assigned friday saturday day resource resource calendar gantt chart show day working day calculated total duration according
28,working project manager year medical software company promoted application engineer role year company pm role started gaining experience field asked manager option enroll pmp certification company possible learned fairly new vp r&d feel certification relevant software company keen approving question certification relevant project software company respected valued know pmp looking different certification offer manager sure regarded pmp appreciate help question
29,gadget report metric available jira kanban useful management reporting measure team performance way throughput cycletime lead time jira
30,small software agency people currently jira implementing scrum practice rigorously struggling understanding user story help part dev process particularly backend frontend team work asynchronously allocation people project vary sprint sprint common sprint backend work frontend work user story complete area finished aware good practice size company useful problem sprint finished async work frontend backend aware good practice possible solution 1- currently working task like implementing endpoint backend implementing view frontend epic directly con developer loose sight ownership big picture feature measure feature deviation 2- avoid async practice specialization backend frontend sure sprint stack team able complete con common idle people transitioning project example useful work backend task frontend team start 3- use user story finished sprint con completed sprint clear owner person charge pm appreciate thought thanks help
31,project sub project sub project sharing resource project file trying level resource project freeze end debug find way solve problem
32,new kanban aware kanban flow system estimation optional stakeholder requested following provide delivery date remaining item wip remaining item need completed week resource needed planning use little law forecasting wondering estimation understanding correct different way advise historical data throughput task week team size capacity work progress remaining item delivered little law lead time wip throughput lead time week rounded week answer question resource throughput rate task week need week complete task correct let question order deliver wip week formula week deliver wip requires resource week deliver wip requires resource resource correct advise
33,task row predecessor row row row start week row finished week row finished possible project automatically schedule task finish example row delayed week want row rescheduled start week row finished week row finished project
34,team stack developer specialist ux expert work approach release hardly ux work eventually left option inform product owner find appropriate ux item prioritized kind rule backlog prioritization need product scrum master discussed development team asked come solution eventually ended point groom specialist explore different area contribute boundary understandable initial day tough time consuming help available readily problem initial hesitation developer dive completely new territory wonder right handled handle situation wonder lot cross functional team specialized ux developer(say mockup ui developer(js dev code guy java database sql mongo etc handle situation sprint ui ux item prioritized reason given time frame application face background slowness product owner expressed interest prioritizing code item ui ux guy hope able explain situation
35,kanban support switch case workflow example code review performed team developer team developer need change team repository code review performed team developer complicated need conform team requirement wait team review different process branching development issue go internal code review external code review complex workflow contain bracnhes
36,try use kanban development project team agile development team company team use scrum kanban suppose team work large project large project divided sub project team work sub project pretty interaction team team ask team perform code review pull request team come team expert advice team request team fix critical bug etc interaction fall group additional work decrease team velocity increase context switching blocker example waiting code review thinking way effectively manage interaction lot hight priority task project team manager come common policy interaction experience interteam task management approached
37,let suppose small development team end developer end developer tester working room able communicate freely throught day reasonable daily standup team use scrum kanban scrum prescribes daily standup necessary
38,people speaking scrum changing existing structure method place method new worker load ton information head start working course drill find
39,making plan personal project.i deadline level task(project planning- day rough idea divide day sub task example problem definition day day distributed certain period day case plan format microsoft project
40,know common strategy reduce rid budget deviation assume division strategy like tm type contract fixed&price
41,entering field project management reading google book found question difference project management program management portfolio management confused read
42,way somewhat objectively measure change project scope team new pmo looking way measure project manage change time measure change actual project scope basic project formal change request measure change time delivery resource general change scope remains want able isolate impact true scope change add feature create new customer support process missed deadline misestimated resource additional context product driven org want track project scope product scope
43,running scrum project jira tfs agile work tracking tool jira created story story completed 8th day workday sprint sub task story closed daily basis included designing development testing review ux review item story check sprint burndown chart showed work actually completed 8th day problem work closed daily basis shown burn chart give impression achieving sprint goal tfs burndown chart show burning remaining effort scrum methodology similar jira agile methodology throw insight work defined sub task closure story thing
44,generally considered developer develop tester test right agile team example scrum developer tester task end sprint help complete story team committed sprint planning kanban developer tester task example development wip limit reached
45,trying query indicates card rolled sprint happen time time roll flag wrong unfortunately azure devops azure board box way finding data need data transparent team try find solution tried find short apis create data warehouse querying data figured better way
46,way rally general search exact text match specific example searched word window result include item window tried putting search word quote effect narrow exact term course tried web search information productive possibly sure look info somewhat novice tool
47,let talking scrum development team task implemented wrong implementation contain unaccetable flaw discovered near end sprint sprint goal achieved code review important procedure performed soon possible possible risk point view hand developer performs code review ther developer task time day inflicts considerable context switching scrum team developer perform code review developer task completing task developer task blocked increased risk soon possible inflict lot context switching policy required developer performs code review end day inclined option approach
48,scrum guide scrum master responsibility team remove roadblock extent sure sm extent maybe middle man communication approval etc help team try explain example tough explain team need certify current application support window server figure need creation new approval discussing need it&s team setting application testing drop email head it&s requesting approval jira ticket created it&s kanban board tracking start delay question come it&s get directed tagged eventually point contact right guide say extent scrum master resolve help team member
49,developer company team leader asked api testing complete system valid question ther qa team company problem system large experience api testing
50,software development team developer perform code review developer task completing task developer task blocked soon possible inflicts context switching policy required day inflicts context switching
51,led project industry experience business management led group employee enroll pmp certification
52,trying apply jira kanban development team work manageable predictable development team consists backend java developer tester developer implent new feature write unit test fix bug tester performs manual testing new writes test came following workflow ready_for_development development code_review testing happens large task column feel like board helping way maybe step chosen wolrkflow trivial kanban workflow development team consisting developer tester help team
53,let suppose team developing software product indicate assignee kanban card anti pattern kanban
54,kanban prescribes visualize work process go exactly visualized general question kanban board design example visualize participant currently working item tester developer collaborating testing phase developer code reviewer collaborating pull merge request work external project external team ask review chages affect way functionality team member helping team member item instead working item original estimate actual spent time meeting etc information help better understand flow work easier inefficiency area possible improvement hand information proven counterproductive worth visualized
55,continuously develop operate maintain hardware software system year load complex business requirement accumulated unfortunately processed current goal ba prioritize list and/or add business value want add intention ba order requirement client kpi assigned requirement promising moscow method assume client effective requirement best practice resolve situation
56,sprint implies commitment hard working willingness finish task taken sprint end sprint hand scrum require team complete task taken sprint
57,creating user story work item tool like github azure devops user want phrase title placed description
58,recently got startup scene hired cto early stage startup got fair bit engineering experience come management definitely junior range think understand essential come managing people align user story personal aspiration independence criticise public set example sell thing opportunity gain new skill fast etc thing output getting minimal clarify hire people time basis hour week offer good equity actual pay new joiner enthusiastic disposition load couple week stop appearing online slack stop responding message eventually stop posting weekly standup message people contribute offer bare minimum hour worth work weekly bit loss shared vision received pushback assume aligned agrees vision begs question offer money possibly motivate engineer
59,sprint ended story software engineer sprint labeled failed story completed exactly failed sprint
60,far understand kanban column divided sub column progress performer column pull item previous column sub column pull system work jira kanban board way divide column progress cope limitation force team member ask team member previous column item
61,far understand estimate plan project scrum requirement allowed change freely mean schedule scrum project particular estimate complete scrum project
62,work fill week sprint length team sprint goal work sprint goal fill week team result end person working sprint goal rest team working important unrelated task unsure best way forward thing considered status quo problem sprint goal minority work sprint cause outright fire optimal change goal encompassing problem goal vague want avoid complete story sprint goal swarm problem feasible entire dev team people focus relatively small piece work people focus lower priority story solution approach seeing problem misconstruing
63,report distinct market research report help business understand central auxiliary component existing business referring report help individual business decide completely new venture worth pursuing market like product worth etc
64,working product integrated bigger package product kind stakeholder product team request feature use feature kind stakeholder customer use product relation product like gather net promoter score like metric feel product problem question likely recommend product friend issue stakeholder choice matter need use product option available friend potentially customer product small package asking product confuse alternative metric possibly different question ask stakeholder overall feeling quality product service provide improving product clarification answer asking np like aggregated single value tracked time high level overview metric ask specific question know area problematic unstructured word mouth feedback satisfaction product service provide relation best like feedback structured scientific
65,looking way implement agile framework academic context context possible come situation team necessary role needed ship product write research paper person single team generally speaking compared typical company difference density people specialized skill higher single project people people involved aspect project time coding define team group people working research paper given person different team strong overlap leadership clearly defined professor collaborating paper bringing phd student post doc organizing scrum sprint daily meeting organize team disclaimer know topic worked system lot thing backwards edit narrow scope question think struggling thing individual high level agency bad everybody involved different project different group people coordinating task undertake given period time troublesome actually spend lot time meeting writing email easy plan end single individual follow ups bit meaningless start previously designated deadline talk research waterfall process experiment design data collection data analysis paper writing probably everybody iteration process pilot experiment preliminary data analysis etc best way answer comment research high level uncertainty definition stuff stakeholder need change sense turn infeasible project aim shift bit rephrase question kind formal agile methodology apply context number people working specific project usually median number project merged closely related people hand median realize problem running parallel project people commitment tied project giving class
66,let suppose task add new search function website let suppose large task use sub task jira sub task decomposition large task subtask1 research current architecture subtask2 implement search function subtask3 write unit test subtask4 update ui subtask5 update documentation easier track progress small work item big one
67,support project sprint contains defect hardly enhancement sprint goal increment applicable upcoming sprint defect defect screen flicker mouseover defect save button click working defect report generation take minute large set record case increment sprint goal reason ask guide development team realizes selected work exceed timebox sprint collaborate product owner remove work need fulfill rule make sense change endanger sprint goal quality goal decrease scope clarified negotiated product owner development team learned sure hope question make sense
68,wip limit column help reveal work process bottleneck prevent person work bottleneck let suppose developer team wip limit development column equal mean following possible developer working item working item developer working item working item column code review code_review column question set wip limit person kanban addition wip limit column
69,wondering use sub task kanban board sub task repsresented column kanban board
70,started kanban board manage thing working great eventually started notice intermingling project system use board better use board integration project system department
71,relatively new project help project schedule consisting approx task grouped number summary task task dependency created majority linked finish task set baseline order able track progress schedule need add task near task list need apparent major change scope intention add task impact save project baseline add new task task automatically updated expected task id link change task new incorrect task list correct link manually way project automatically update based new task id thanks advance hannah
72,got question course managing software project qa manager tell need plan team start test planning activity finish testing begin say start late project necessary relationship test planning activity testing activity a. start start b. start finish sf c. finish start d. finish finish ff correct label ff correct seeing given say finish planning activity testing begin
73,let workflow like development code_review testing developer assigned work item start working item implemented need reviewed developer team change assignee field developer implementing developer reviewing question work item need code_review testing assign tester change assignee field filed item kind un owned transition development code_review code_review testing consider themself responsible item especially unfinished work item change assignee field lose information original developer convenient
74,like know agile project management practice jira create maintain external document requirement project schedule definition risk registry etc assume project simple short term
75,new start finance trying figure basic employee incentive right se let know monitoring project want team recognize error missed analysis deciding commit project feel incentivized hand want encourage low standard analysis phase want reward catching mistake soon possible disincentivize letting error cause damage careful monitoring prevented reward team ability spot mistake disincentivize low standard good mechanism bonus pay system idea help achieve thanks
76,working project project set project contains activity auto scheduled minimum start date constraint activity milestone behavior milestone odd like milestone arranging successor event resource overlapping activity milestone adjust dependency overallocation warning indicator column addition multiple activity resource scheduled date gantt chart tried switching activity manually scheduled thing happens milestone effect resource allocation affect assignment start date successor activity
77,past research spike story new area building big excel debug ntml2 jar authentication issue sprint week run sprint scrum say handling story timebox deprioritize story point convert day story deliver sprint team velocity management worried
78,customer product owner worry making acceptance criterion known advance development team scrum master worry suppose responsibility customer exactly express acceptance criterion failed fault team
79,scrum story acceptance criterion supposed replacement project scope product requirement convenient requirement scattered issue jira instead kept single document
80,finished reading phoenix project liked thing talk hand offs resource say wait time given resource percent busy divided percent idle busy resource wait time unit busy resource unit wait utilized resource unit wait new item needing work resource wait time issue company task transfer team basically team busy work work team wait team priority extreme scenario expedited planning add hand offs process future reading think found possible answer issue wanted find corroborating source concept suggest cio went google found little literature related concept connected phoenix project computer science queuing theory management concept come phoenix project actually work case study success failure interested actually tell team plan watching youtube time detail company hundred internal product microservices environment change needed service align schedule team know change plan introduce pull request system team need change microservice code change pull request team microservice belongs merge reject pull request pull request time need reviewing testing releasing etc trying find way reduce wait time team make pull request adding lot disruption core team microservice question
81,20-people workshop producing mdf kitchen cabinet home decoration employee grouped sale people workshop floor worker installation worker person owner manager wonder organizational hierarchy suitable business anybody helpful experience currently hierarchy employee interaction designed
82,technique starting new sprint new project history data exists thanks shiva
83,project noticed total cost column project increase time enter actual work sure ressources working planned task week prevent thank
84,let team consisting developer tester kanban board consisting development(wip=1 column developer implemented task move testing column far tester write new test task development column tester working task time despite wip task development column task testing column kanban board represents division team developer tester etc team workflow
85,building simple spreadsheet help prioritize trying use weighted scoring value effort cost initiative value measure highest weighting value affect score positively weighting effort cost affect score negatively inititiave value cost effort priority inititiave value cost effort priority inititiave value cost effort priority thought best approach positive inverse negative scoring
86,development task complex development team propose solution instead find solution course know soon solution found research task kanban create task assign developer task staying progress column indefinite period time
87,kanban developer involved developer work help consults significant time half day work item developer staying progress column workin log work jira general question kanban
88,going jira client specifically kanban board want simple possible simple card detail small swimlanes etc question outside epic way split issue category board example feature request support issue bug etc sure granular hopefully idea make sense afraid client overwhelmed seeing big list card backlog visual way split thanks
89,use component framework development project party component framework closed open source inherited element client requires develop software includes adding new feature component framework case crystal clear ask payment development adaptation improvement cost component framework case discover component bug prohibits complete commissioned development task heavy discover design failure framework involves redesign rework part course complete fixing costly development cost negligible question report management work bill development work client work required commissioned development work work considered company investment client billed directly loss technical debt client billed actually nice wider picture development work billed reported accounting developer work spent communication client content feature time meeting client time required developer assimilate design codebase previous developer guideline cost estimation little account cost investment operational cost report management client
90,let suppose estimating task planning poker discovered possible problem risk risk probability p1 risk probability pn problem increase work problem happen problem arise additional risk mentioned risk happen way calculate estimate kind task
91,let suppose scrum team estimated story added sprint backlog work task customer add change requirement increase work requied complete task following add changed additional requirement task create new task modifying adding functionality case large task larger recommended scrum practitioner second case phisical jira task logical task
92,far know advised story scrum small longer day work item size appropriate kanban particular create small issue hour long mentor new junior developer create long task abovementioned mentor supposed present activity kanban project
93,project closed managed scrum week sprint closing project dedicated project member assigned project want maintain service level agreement sla support testing development team resolve incident fix bug add new feature come needed future entry point user create incident face issue need new function tool support team skill fix issue related tool design code easy agree sla according incident priority incident related design code issue related new function implemented support team need create bug story development team product team prioritize bug story agree development team estimated effort hr needed development team pick bug story a. priority bug story b. available shared resource c. estimated effort implementation testing bug fix feature deployed pre production environment product owner user test uat successfully passed uat new release deployed production environment step measured develop sla step find way define sla dynamic factor fixed time boxed sprint dynamic responsive unpredictable bug feature coming time best practice better define process measure define sla
94,issue larger project went simple kiss test observation issue project want spread work duration task according contour flat default optimize resource availability set simple project resource task hour work day longest task leveled project hour setting default simplicity mashed task list leveled resource usage table issue plainly hour work spread day hour work day imagine issue better task resource fact complex way msp break work way maximize time available resource people deal
95,idea provide insight setup curve graph based complete column helpful stuck task day thanks
96,macro reschedules project pwa want automate schedule execution macro think task scheduler time project macro open prompt enable disable macro believe way define trusted location macro wo prompt trusted location security setting address macro run daily automatically requiring user input
97,working enterprise realizes dozen project based system problem project team module associated team currently pm work coordinator project team project team project depends team currently follow scrum like approach team member sprint planning work beginning unplanned work delivered pm lead factor low morale team member rare sprint time worker got idea ignore scrum activity moment main problem relationship team project product spread project question following maybe best way use kanban worker pull work item backlog organizing flow maybe complex project justify scrum kanban useful want discus boss obvious disadvantage missed
98,background work company bad culture everybody treated salary reward high achiever punishment bad employee including people time job work hour company pay lower end requires lot knowledge niche market custom system business rule people got fired fired year constant warning watching porn multiple time team working new system new employee got onboard high productivity project completed year working people got promoted team based relationship achieving team salary correction year solving big problem company market average problem team got demotivated contaminated culture wanted change company slacker management increasing complexity project ending scope creep unrealistic expectation putting resource external freelancer slow note resource redundant focus different area qa automation devops speed development know trying best finish project try best option self managed decision reason responding negatively know company willing pay external people pay better improve current problem team member lying team member leaving work unfinished correct team member acting like favor real bos bos team member pushing time thing example year day pushing week team member decreasing quality work talked bos said punish depend maintain old system current system new system similar way old system complicated documentation developer build job security discussed beginning project needed change including employee reward culture change repeating error including developer team saw old team want like old team repeat pattern getting shitty salary able build business maybe retire sooner suggestion change behavior know project completed successfully power talk ceo let know going
99,guy resolving problem so dns devs making dial clarifying thing product owner rootcause bad grooming think bad practice
100,like opinion issue facing project management like create roadmap team kind macro planning concrete example list project let case project start january end march workload man day calculate number resource needed carry project possible project define macro planning read forum people use kind capacity planner excel general manage macro planning year thanks
101,estimation based story point pretty unreliable scrum team complete sprint backlog time flaw scrum process
102,background development manager bos scrum master like introduce change approach change ask need change explain think useful solicit opinion member past change accepted team course co operated recently team gained better understanding agile trend rejection team wait holdover question superior culture private meeting development manager told feel suggestion valuable inflexible refer working agreement approach abrasive confrontational question suggestion ordered communication class stop actively participating agile event question best way handle communication scrum environment created discord team member punished
103,essential idea kanban improve development process software development team developer designer tester technical writer devops manager customer representative etc
104,took psm practice assessment came question appear incorrect trick question question optimal development team size fewer development team member decrease interaction result smaller productivity gain member requires coordination trick question optimal question day sprint planning plan work product owner need present sprint planning team plan forecast technical level trick question needed need present question answer wrong trick question trick question typical official psm exam
105,kind theoretical question scrum require board use jira scrum project board
106,knowledge find defect opportunity normal distribution find sigma level exponential distribution find sigma level
107,provide context company outsourced software project party agency recommendation agency delivery poor far term quality time delayed delivery initial month period estimated month month delay justified agency technical refactoring thing wrong meantime decision maker foot owning communication agency delivers de scoped feature need built house delivered charge decision making stepped month ago gathering detail predict refactoring delay coming agency currently development resource house necessary wiser thing order project good term house hiring plus forced project asap use capital invested let agency finalise project spend month refactoring house idea
108,week participated job interview technical manager position question asked answer question
109,landed freelance gig solo software developer time assume pm role project pm prior landing contract met client gather requirement ass technical feasibilty etc worked schedule plan gave quote month timeline eventually awarded contract administrative detail sort project officially commences developer time constantly chipping away requirement especially awarded contract went steam ahead sorting administrative detail month timeline honest assessment based thought going technically hard overcome problem project going officially commence soon client current state day early feedback accused egregious quoting early work slowly reveal week progress
110,ops feature building team internal service large corporation team backlog ticket roughly month complete plus adding ticket closing limit big backlog limit like simple answer drop ticket backlog valid requested work
111,work environment embraced agile feel like faced problem double framework position going team working thing planning safe framework accomplish product large product owner developer told need business analyst wondering type role fit manager tell team safe need handle backlog ba indicating business involvement
112,scrum strategy team use efficiently assign reviewer task story reasonable definition contains requirement code review source code reviewed programmer interested process selecting reviewer interact board seen multiple approach scrum board concerned code review effectively author reviewer work task column flexible downside author find reviewer scene convince spend time task reviewer available non cooperative party forget special column named like waiting review reviewer take task performs review give move progress make process transparent represent happens code review usually multiple exchange multiple commits bureocracy feel unnecessary commit task board look like attempt solve problem previous point fails project single git repository creates bureocracy barrier good practice focused commits reviewer merges reviewer merges commit close task speed bureocracy fails task involves additional work outside repository especially developer evaluated number task closed story point gathered
