Index,question,PMBOK_Area_1,PMBOK_Area_2,PMBOK_Area_3,ProcessGroup,Technical vs Managerial,Knowledge vs Scenario
1672,"Does it make sense to require developers to write a “business value add” section in each issue? Background In our company we demand that engineers write a brief one liner section in each ticket they work on (from jira/github/gitlab etc) that explains the ""business requirement"".. the logic of that is explained here (text copied from our ""issue protocol"" document verbatim): Business Value add The software projects we work on must always ultimately serve a business need. Simply put b/c at the end of the day, someone should be paying for the development of these tasks. Therefore, it's very important to express the value add of the task in a language that non-technical person can understand and appreciate. Think about it in the following scenario: we bill the client per issue (ie in the monthly invoice we add the issue number and description in a spreadsheet). For the client to know where their money is going, they should be able to read the issue business requirement and immediately understand it. This isn't the job of the PM on the project, this is the job of the engineer working on the issue as they're the one most familiar with it. If you need help expressing the business value of the technical work you're doing, contact your PM and they can give you a hand. Business Value add instructions Must be a one liner don’t write a whole detailed description of the requirement and the reason behind it and the background etc. Simply state the business value of what the task is about. Must be a parent task No need to write business requirements for subtasks. The business requirement for the subtasks can be inferred from the parent task Must explain the business value add, not just describe a problem People don’t pay engineers to report a problem. They pay them to fix it. That’s why the business value add section should simply state the value added by doing it. Bad example Users won't be able to successfully checkout using valid credit cards. Good Example Fix bug preventing using from successfully checking out by using valid credit cards Must use the imperative mood This is best explained here. Similar to the git commit messages, business value should be written in imperative mood, which is “spoken or written as if giving a command or instruction”. A few examples: Clean your room Close the door Take out the trash Please see above link for more thorough explanation I have used this policy with several teams/startups with mixed results. But I was going over the book Software Requirements and it showed this image: and it shows ""business requirements"" as high level business objectives that belong in the vision and scope document, rather than ""functional requirements specification"" doc. Question Does it make sense to ask engineers to put a Business Value Add section in each issue they work on? Let's assume that engineers aren't trained for that kind of documentation (from my own experience, it's a hit or miss chance that engineers will be able to properly write a business requirement section, most of the time they do it just as getting through the motions and they don't really do a good job) then the next question is: does it make sense for anyone to write a business requirement section for each issue.. be it a BA or a PM etc? Update I just wanted to clarify something. Basically I guess my question makes more sense if given the context that the engineers doing the work are not from the same organization that's paying for the work. Classic example: entrepreneur outsources software work to a software shop, and pays them. The question I get all the time from such entrepreneurs is: where is all my money going? By requiring that the outsourcing company fill in the business value add section (and this is why it doesn't have to be an engineer doing it.. it could be the PM/BA from the outsourcing company), then the client gets a lot more visibility on where they're money is going, and I think that's fair (it better be, the client can simply make that a requirement when signing the contract).",sco,-,-,p,1,1
1495,"Good All-in-one excel template for SCRUM framework?   In our team we want to use SCRUM but for the moment we don't want to use a tool (most of them are not really free or just for limited number of project/users). Because agile is about simplicity, we think a good starting point to follow-up a SCRUM project would be to use an appropriate excel template. At the end Agile is a pathway. Looking on internet, there are some specific excel file such as: product-backlog, sprint backlog, burndown chart, etc. I am wondering about some excel with all in one together and selft-contained and simple to use. The most complete one I have found are: this one Petri Heiramo, CollabNet but I guess no one maintains it (probably it was the early stage of CollabNet). There is another one from MKB Software Expert that is a good one too. I am looking for something that includes and integrate (I know it sounds like an application, but excel is very powerful tool): Product vision Release Plan Product Backlog Burndown Spring Backlog Resource Allocation Impediment List Here some additional resources I have found on the internet about this topic: It is an example, for parking lot application, with an executive dashboard (manual update) and with Product Backlog and Sprint Backlog https://www.scrumalliance.org/resources/8 Add-in: (I don't know how it works for Excel 2013) https://www.scrumalliance.org/resources/48 Seem to be provided by Petri Heiramo from Collabnet (this is the best I have found) https://www.odd-e.com/resources/template_backlogs/ph_product_sprint_backlog_0.03.xls It contents Production Vision and Impediment list http://www.mkbsoftwareexpert.nl/download-scrum-tools/ Reference to some good templates some from Bas Vodde collection and Petri Heiramo http://agilesoftwaredevelopment.com/tags-860/scrum/scrum-backlog-templates-and-examples/ Other references https://www.odd-e.com/home_page/html_files/bl_templates.html Good Product Backlog with macros for updating the information (click on the link: A backlog from a company starting with a ""c"") https://www.odd-e.com/home_page/html_files/bl_example.html Just provide a screen shot, but gives you some idea about how to document user story https://www.mountaingoatsoftware.com/blog/a-sample-format-for-a-spreadsheet-based-product-backlog Simple, it generates cards https://www.equinox.co.nz/blog/agile-excel-story-templates-for-backlogs-and-release-planning What would be in your opinion a good excel all-in-one for managing and monitoring SCRUM projects? Note: I am aware it can be considered as typical shopping/software question, the border can be diffuse because Project Management is about: Procedures, Techniques, Tools and its best practices applied to project management, therefore sometimes is impossible to talk about it without mentioning some specific technique and tools.",sch,int,-,i,1,1
1539,"Parallel workflows: Preparation at a low-level, while management sorts things out at a high-level Introduction: My organization is embarking on a corporate asset management project. The corporation knows that it needs to do comprehensive asset management on all its assets, in a single, easy-to-use data location. The idea is that asset-inventory data from several specialized systems will be periodically exported & imported to a single location, for the purpose of organization-wide analysis and reporting. The Situation - High-level: Management is currently in the process of figuring out: What they want How they want it Why they want it They're doing what they refer to as ""starting with the end in mind"". While I wouldn't say they are employing any sort of project management practices, they are trying to 'figure their poop out' at a high-level. This makes good-enough sense to me. (This is a bureaucratic organization; it will take 1-3 years for this planning to be completed.) The Situation - Low-level: Down at the worker-bee level, a few of us are working on 'getting the organization's poop together'. In other words, we're preparing. We know that the details of the project are subject to change; heck, they haven't even been defined yet. But we have a general idea of where it's going, and we know that our data needs a lot of work to get there. And we know that we should start thinking about the framework that will be needed for this initiative. The Question: We generally have the support of our immediate management. They know that being prepared is smart, and we've been successful doing things this way in the past. But we face fierce criticism from other stakeholders. They accuse us of putting the 'carriage before the horse', and think that the details(data) will just work themselves out, when the time comes. It's not that we think that they're 100% wrong (there is some sense to what they're saying), nor are we looking for help to argue with them. However, we would like to make some sense of this sort of parallel-workflow that's we've come up with, so that we can refine it and communicate it better. It could be visualized something like this: Project Planning Project is underway Project Complete ---->---->---->---->---->---->---->---->---->---->---->---->---->---->----|  ^ Preparation | ---->---->---->---->---->-----  \  Implement! Hit the ground running. So the question is: Does this fit any sort of project management technique? How would it be described?",sco,sch,-,p,1,1
1100,"Is it correct to create pre-release versions in Jira? Before production release we make few intermediate versions to help managing test-fix iterations, like: 1.0-alpha1 1.0-alpha2 1.0-beta1 1.0 [edit] Basically those intermediate steps help us relate to specific phases: with comments like ""it worked in alpha1 but it doesn't in alpha2"" it's helpful to filter issues that changed in specific iteration After some time it gets messy to deal with so many versions and it seems good idea to merge all those versions into one (say: 1.0), but that would mean losing some historic details. [edit] Is it correct to create those intermediate versions? Should they be merged after final release?",sch,sco,-,p,1,0
4601,"What is the role of a QA tester on a Scrum team? I've recently added a QA tester to our new Scrum team. The tester comes with a lot of experience in automated testing and is capable of scripting, light coding, etc. He will be using automation tools, such as Selenium, to assist with the QA process. However, I am a little unclear where to draw the line in his responsibilities. Also, how do I incorporate QA into the whiteboard? 1) Role and Responsibilies Should he be involved in helping the developers identifying what unit tests to write for a given module? Should he be involved in determining code coverage for testing? Should he be responsible for the Continuous Integration tool? Is he the person who declares a story as ""Done""? Is he in charge of making sure that a story is testable, and therefore valid? 2) QA on the Scrum Whiteboard Should there be a separate column for QA on the whiteboard? Or is it better to mark a story in some other way to show that it is being tested? Should bugs be identified as tasks within the story, say on a red post-it, or should they be a separate story unto themselves?",qua,-,-,p,1,1
1670,"Benefits for the development team from adopting the Behavior Driven Development I've been working for this company for about 5 months. They had very aggressive hiring policy and the result was that the development teams were build fairly quick and we started contributing to the product's code base without any formal development process in place. At the beginning most of the people were confused, not knowing what to do, since the product is fairly big, the code base is old and there is a lot of confusing code and few people with enough experience to explain what's going on. During this period it was obvious that everyone is acting chaotic and back then the need from some formal approach was obvious. However time passed by and now the people have gained some confidence, some experience, knowing a little more about what is expected from them and I would say, they already started to feel comfortable as it is. And now I'm given the opportunity to try and convince some of those people (the team that I am part of) to try and adopt the BDD. If this had happened two months ago I would feel very confident talking to them. I imagine how I explain them how we will get together at the beginning of each sprint, writing our scenarios, making sure that we all start with the same understanding about what should be done. Then, how there will be no downtime for the QA's but instead the whole team starts working, knowing exactly what needs to be done (eliminating that feel of not knowing what you need to do) and collaborating with each other/helping each other. Bu this is the picture from 2 months ago. If I tell them now the same things I'm not sure if they gonna be interpreted the same way. I feel that it's most likely that now they will find irritating to spend time writing scenarios (after all now they know what should be done or at least they think so), they don't feel so lost anymore so the idea of pair programming and spending more time discussing stuff is more likely to be seen as waste of time or even sign of lack of skills. Things like living documentation or filling the communication gap won't make much sense either since we haven't hit those problems.. yet, and last but not least I myself lost my confidence that BDD is actually something that will definetlybenefit the team. After all if the team members are feeling OK, if the management is feeling OK, then why bother to change something. Maybe things are going fine. This is where the things get very subjective and I need some advice. Do you think that given the circumstances the adoption of BDD is something that worth the effort. If no - why? If yes - what arguments would you give to such a team in order to make them enthusiastic about adopting BDD and willing to make the effort needed for that?",comm,res,-,e,1,1
4838,"Current best metrics related to requirements, design and architecture So my boss put forth a 'research and find out question' to me: Are there ANY (absolutely any, no matter the dumbest, but any) metrics for requirements management? Eg. Requirements completeness, consistency and productivity (being the most difficult to nail down i.e. what is meant by productivity). Similar question with respect to design and architecture level metrics. I.e., do any exist and what are they if they do. It's kinda fuzzy right now but I wanted to know what are the metrics that you have commonly used at these stages (if at all) and what have you found to be worthwhile. The notion is that most companies can (and do) come up with proprietary metrics to measure stuff related to the requirements/design/architecture phases but are there any 'commonly applicable' ones? Note: I'm not looking for code related metrics like cyclomatic complexity or bugs/100 LOC or function points I'm aware of the product backlog in the agile community along with release burndown release burndown charts tend to give you a good idea of things but they don't work as well in a non-story-point estimation environment, IMO. They are good proxies to measure the aforementioned requirements consistency, completeness and productivity aspects but not sure about how well can they cater to that. I'm well aware of it being a hard problem, I'm not looking for a solution but mere opinion/view points on what have you used or seen/heard being used in this regard. Research paper references more than welcome too :)",sco,-,-,m,1,1
859,"MS Project, add hours directly in resource usage at my work we use MS Project 2010 to run our Monday morning scheduling meeting, from Resource Usage view. In the version I inherited on my work computer, I can change the number of hours or add a new assignment and add hours to it without leaving Resource Usage view. We view it at the resolution of one week per column. This way we can quickly got through the list of employees, change the number of hours assigned to existing tasks or add new tasks on the fly to keep them each close to 40 hours of assigned work per week. Without this ability to edit the assigned hours per week in resource Usage view, we would have to run our meetings very differently. We have several discs for MS Project 2010, but if I install on other computers, I cannot add hours right in Resource Usage view. I don't know what is special about the version of MS Project 2010 that I am using that I cannot get this function from other identical software. When I try to add or change hours in the columns, nothing happens, like my number lock key is off or something. I have also demoed MS Project 2016, Standard, and Pro, but I still cannot add hours directly into Resource Usage. Does anyone know if there is a setting to change that I don't recognize?",res,-,-,p,0,-1
1544,"Overcoming reticence to use RAID logs When managing a hybrid Agile project with both business and I.T workstreams, let's assume there is a requirement from the internal PMO to use a RAID log. However, you will also need to interface with a Scrum Team to track certain issues and actions. The organisation has a mandate to go Agile but has not implemented any agile governance before. Staying with Actions for now, I've noted in the past that nobody on a Scrum Team wants to even look at a RAID log. They do, after all, look like something from 20 years ago, whilst Scrum Teams in start ups and digital agencies are using tools that are much more non-threatening and usable, and this is a factor if we're talking about motivating people to help out. How have people tackled this kind of situation? One idea I have seen used very well is to replace an action register with a Trello board. It's a slick and usable product, you can use avatars, easily upload attachments etc, and it can be used to model a Kanban board which Scrum Teams will be familiar with from using JIRA. Suddenly talking to the dreaded delivery manager / program / project manager isn't so bad. They aren't stuck in the 1990's, and it feels more like the safe environment you're used to working with alongside your Scrum Team.",int,-,-,i,1,1
4872,"Microsoft Project 2010 - Need Project Design Advice I'm designing an IT project sheet for my department. I have a certain methodology in mind, but i'm trying to translate it into Project's configuration. Here's what I'd like to do: I want to set max untis for each resource in my department to a % of their 8 hour day (i.e. 40% of 8 hours each day for projects, or 3.2hrs / day) Then I want to manually estimate the amount of time a task will take to complete (backup accounting data - 8 hours) Then I want to assign a resource to a task, and based on the estimated amount of time for that task relative to the max units (hours/day) the assigned resource can spend on that task, I want project to auto-adjust the duration and the start/finish times I was under the impression that I could accomplish this by setting: Project Work Times - m-f 8a-12p & 1p-5p (8 hours/day, 5 days a week) Default Task Type - Fixed Work Max units for resource - 20% Manually set 'Work"" column to estimated hours for task Assign resource to task Then 'Duration' & 'Start/Finish' columns should auto-adjust based on preset criteria For whatever reason this seems to not be working, or possibly working in a way i'm not understanding. For example, I indicated a task would take 8 hours, and I assigned a resource to it with max untis 40% (3.2 hours / day), but for that specific task assigned the resource's 'Units' at 100% (i.e. I want this resource to spend 100% of their 3.2 hrs/day on this task alone), and yet the duration column states 1 day, and the start/finish columns both have the same day. Given my assumptions, I would expect the 8 hour task to be broken up into 3.2 hour increments per day based on max units% for the resource, so the duration should be 2.5 business days (8 divided by 3.2 = 2.5) and start finish should reflect that based on the defined project work week. Does anyone know what/how I need to configure my project to accomplish this? What am I missing?",res,sch,-,p,1,1
4682,"MS Project formula with access to predecessors field I have a project processed in Microsoft Project (in fact I am creating a template), tasks are connected on to another as I need them to be. I would like to add two new columns, namely start and finish day throughout the project. Let me illustrate what I do need it for. I do have start and finish dates set and since all tasks are connected, I only need to set the first start date and all the others set automatically. These columns are going to be presented to team members as they do care about dates when they need to deliver the results. In contrast, if I am presenting projects structure to a client, he/she cares about duration of a project in terms of man-days or days instead of some date (notion that task 1 happens from day 1 to day 10 of a project, after 16 days of a project tasks 5 and 6 are going to be executed are more important). So basically, I need a formula for new column (custom_start_field, custom_finish_field) which will take predecessors custom_finish_field fields (if not exists then 0), find out the latest and add 1 to it (now it is a custom_start_field), and then add duration of task + 1 and it becomes custom_finish_field. Can any of you who are more experienced with MS Project help me? I would be grateful.",sch,-,-,p,0,-1
886,Can one person be Scrum Master inside two project at the same time? We have a software company and our team is ten people and the number of projects we have is two. Can one person be the Scrum Master inside two projects at the same time?,NA,-,-,NA,1,0
214,Place for team leader or project leader in Scrum What is a role of team/project leader in scrum? In or organization team/project leader is doing: Communicate with PO which is customer Help team to find solutions Help PO to define direction Help to deliver complete solution How team/leader can find out in scrum or even is make send to have this position in team?,comm,res,int,i,1,0
734,"How to assess “We do scrum” on a job interview? I have noticed on some job ads where at the near end company states ""we do scrum"". I'm just getting into scrum stuff and I learned little bit about scrumbuts https://www.scrum.org/resources/what-scrumbut. Is there a way to assess if company has concerning scurmbuts or do I need to have years of experience with scrum before I can notice these things?",NA,-,-,NA,1,0
4337,"Tool suggestion to manage multiple projects / people working on several projects at once?   This is the situation in our office and I would need a recommendation which tool to you to facilitate our work. At the moments, things are slowly slipping out of my hands. What we have: many projects with its own tasks many people working simultaneously on multiple projects and tasks people are paid per project and per tasks, but we also have internal milestones How to track all of this? Which tool to use? Please let me know if you need more details as I am not sure what else to say.",sch,-,-,p,1,1
5144,"What are good steps for getting guidance to become a project manager? I'm currently active as a project leader (under a project manager) on a project at the European Commission. I've literally asked my PM to guide me, let me know what I could do to improve etc. What would you recommend to do for getting good guidance? The broader perspective of this question is: What do you recommend to do if you are a junior Project Leader to learn the tricks of the job and eventually, in a few years, get the status of PM? For example: He told me to follow training on PM, go to conferences in the next months...",NA,-,-,NA,0,-1
4891,"Software tool for resource pipeline planning for multiple projects   My company has about 20 - 30 open projects at any given time, as well as 5 - 10 that have been approved and will start within the next few weeks. We currently use Basecamp to manage the projects and break them down by hours per area, i.e. 45 hours design, 200 development, etc. Are there any good systems, preferably open source, that can help visualize hours that will be needed for all of these projects in the future? Thinking of a 3 - 6 month future view. I've been looking at the plugins offered by Basecamp but haven't been able to find anything that will show multiple projects at once using an hourly view.",sch,res,-,p,1,1
3550,"How to monitor team members activity and effectiveness? I would like to measure the effectiveness and efficiency of my team members. I'd like the measurement to be relatively objective and transparent, and I believe that some form of software would fulfill those objectives. How could I search for and evaluate such software? What kinds of software incorporate these kinds of features (While software recommendations are out of scope because they change frequently, the underlying requirements should be more stable.) Is there software that might: - Diagram activity over the past year - Facilitate peer evaluation? - Measure improvement? Are there non-software procedures that would assist?",res,int,-,m,1,0
2582,"Customer seems to be too busy to do regular meetings We're doing Agile development, and even though we are not going as strict as Scrum, we'd like to keep the sprint planning meeting so that the customer is able to prioritize on business values for each iteration and possibly some feedback. That being said, having a product owner as the customer's proxy isn't really an option because the team is not big enough to separate roles like that. At first glance I thought about talking the customer into assigning someone from his company on his behalf who'd act as his proxy, with enough power/permissions to make decitions and prioritize business values, so that we can go with the sprint planning meetings. The customer's company isn't that big, I'd estimate a maximum of 15 - 20 employees. Is there a better way to handle this, maybe a different perspective? How should I approach the customer and talk him into a solution?",sta,-,-,e,1,1
344,"How long will it take for epics and stories to exit our Kanban system We have only just recently starting using Kanban, so we have little or no predictability data about how long epics and stories take to move through our system. How do we give the business an idea of how long epics and stories will take to exit the system?",sch,int,-,e,1,0
3501,"Are efforts to improve quality an impediment to achieving schedule in Scrum? Let me begin by highlighting couple of roles of a Scrum Master as quoted by the Scrum Alliance: The ScrumMaster also works with the development team to find and implement the technical practices needed to get to Done at the end of each sprint. Another responsibility of the ScrumMaster as quoted there include removing impediments to the team’s progress. These impediments may be external to the team (such as a lack of support from another team) or internal (such as the product owner not knowing how to properly prepare the product backlog). That said, the ScrumMaster fosters self-organization, meaning that the team itself should remove issues wherever possible. Some other responsibilities mentioned include helping a PO creating and maintaining Product Backlogs, facilitating meetings, and making sure Scrum process is strictly followed. I work in an Agile environment with 6 Scrum teams, as a developer in one of the teams. We follow Scrum professionally and as expected, the scrum master chases developers to get all user stories finished by the end of the sprint, as we commit the delivery right during sprint planning (without really touching on the technical aspects). Now obviously, the scrum master is not expected to know anything about code or how time consuming/difficult a user story is; all he wants is the user stories finished. Now let's consider what Robert Martin has to say in his book Clean Code: Most managers want good code, even when they are obsessing about the schedule. They may defend the schedule and requirements with passion, but that's their job, It's your job to defend the code with equal passion. Alright, so here goes my descriptive question: We all know writing clean and maintainable code could be time consuming depending on the task (for example architectural work usually require lots of time and efforts). Now, if writing clean code and maintaining them is an important aspect in software development, why does Scrum assign Scrum Masters (who don't have any programming knowledge) the role of getting developers to quickly achieve 'Definition of Done' before the end of sprint? A lot of times due to this, most developers end up not bothering much about writing reusable quality code and just write a slew of code just so that the feature is implemented. Rather than protecting developers from impediments, wouldn't it be appropriate to conclude that a scrum master is an impediment towards writing clean code? Now someone could argue saying that scrum masters are supposed to do this so that the developers stick to their commitments and get the features delivered. But I think we have already touched on the point that scrum masters basically foster self-organization, and that the team itself should remove issues wherever possible. Its quite obvious that if the team doesn't deliver the features as committed, then they shall ultimately bear the brunt from the higher management, the thought of which should automatically drive the developers to work towards their commitments whilst not hindering them from writing good code. My point is not against having scrum masters, I definitely agree with all other responsibilities of a Scrum Master other than racing developers to get the tasks done. Am I justified in expecting the Scrum Master to allow me needed time to write reusable code?",sch,qua,-,e,1,1
4021,"How to keep a Scrum of Scrums meeting short and efficient given that reporting on non-technical issues can take a long time? We are running a project with a team of around 60 people using Scrum. Half of the team reports to one project manager; half to another project manager. Those 2 project managers meet with the test lead and the program manager in a daily Scrum of Scrums (SoS). Given that this is new, there is some concern about keeping the SoS short and efficient. I've read several good articles on the topic of SoS, but most focus on technical integration between the Scrum teams via the SoS. What about reporting non-technical issues and status during the SoS? Specifically, the project managers are not technical (and neither is the program manager). How detailed should the (non-technical) report be in the SoS and how can we keep this short and efficient?",comm,sch,-,e,1,1
3727,"Organisation fails to deliver a Product Owner I am working in a Scrum-team that has been developing software for the past year. The organisation isn't used to agile product development and initially provided a weak product owner who was chosen because of his functional knowledge about the domain, but since we're developing both a functional system and a new technical architecture, he recently quit this position because he couldn't find himself adding much value to the team. Besides the Scrum-team (programmers and testers), there is a relatively new separate project leader/manager who is responsible for budget, a software architect approving technical decisions and a requirements engineer (currenly 'interim product owner') who sees himself as chicken helping out the hypothetical product owner. And then there is the test department and operations. These all are the stakeholders in this project and the organization has trouble appointing a product owner, because they 'can't find anybody who has enough knowledge and time to take on the job'. Fortunately most of my colleagues are smart, pro-active people and we are constantly debating among ourselves to make the right decisions and I think we're doing quite well under the circumstances. However, not having a product owner does slow us down and demoralizes the team in my opinion, because nobody seems to want to take responsibility for the final product except for the project leader/manager who only appears for demos, when approving timesheets and in weekly 1 hour meetings to inform the team about future organizational plans regarding this product, but also giving us a chance to speak up if there are any issues. A while back, I have asked the project manager to invest more time in making and maintaining a full release planning, so we can plan ahead and make choices about priorities accordingly. Although he response was positive, I have yet to see any results. How would you proceed?",int,-,-,p,1,1
3662,"Do ergonomic keyboards, mice, or chairs make a difference in delivering projects on time, on budget, or according to spec? I am especially interested in data input ergonomics: keyboards, mice, and chairs, but would also like to hear about other ergonomic improvements that changed project performance. References to specific research, case studies, or best-practice sheets would be greatly appreciated. The question is: Do ergonomic keyboards, mice, or chairs make a difference in delivering projects on time, on budget, or according to spec?",qua,res,-,e,1,0
1884,"What would be the pressure for developers in scrum? In a typical non-Scrum environment, a Project (or, Product, maybe) Manager will be the one responsible for project/product success, and so assigns tasks to the members, make sure it gets completed. Gives pressure to the assigned members. When considering a developer's performance, whether you use Waterfall or Scrum, unless a developer has a very highly professional mindset, there exists a certain amount of pressure (to complete the job) which would make the performance of developer at its highest, I think. I'm trying to learn Scrum, but cannot figure out what (or who) would be the one giving this pressure to the developers. Or, does Scrum (when ideally practised) trust each developer to control his or herself and do whatever is necessary to optimize their performance, on their own?",res,-,-,e,1,0
116,"How can I resolve conflict with a seasoned developer? I am quite new to project management, with less than two years of experience. I am assigned to the a project. A seasoned developer is challenging my authority and expertise this way: I've been working on dozens of projects, and now I am a senior developer. I've seen Scrum, Kanban and so on, and I know how everything should be organized. You are too young and have no enough experience to organize Scrum, Kanban, etc. Your actual duties are: to elicit the requirements clarify the roadblocks, etc. My duty is to write code only. The rest should be provided by you. How can I deal with this situation? I feel embarrassed, shy, and inexperienced in different projects even though I have expertise as a PM, and he has a developer only.",res,risk,-,e,1,1
